Year,Total
1,10800.00
2,11664.00
3,12597.12
4,13604.89
5,14693.28
6,15868.74
7,17138.24
8,18509.30
9,19990.05
10,21589.25
11,23316.39
12,25181.70
13,27196.24
14,29371.94
15,31721.69
16,34259.43
17,37000.18
18,39960.19
19,43157.01
20,46609.57
21,50338.34
22,54365.40
23,58714.64
24,63411.81
25,68484.75
26,73963.53
27,79880.61
28,86271.06
29,93172.75
30,100626.57
31,108676.69
32,117370.83
33,126760.50
34,136901.34
35,147853.44
36,159681.72
37,172456.26
38,186252.76
39,201152.98
40,217245.21
41,234624.83
42,253394.82
43,273666.40
44,295559.72
45,319204.49
46,344740.85
47,372320.12
48,402105.73
49,434274.19
50,469016.13
51,506537.42
52,547060.41
53,590825.24
54,638091.26
55,689138.56
56,744269.65
57,803811.22
58,868116.12
59,937565.40
60,1012570.64
61,1093576.29
62,1181062.39
63,1275547.38
64,1377591.17
65,1487798.47
66,1606822.34
67,1735368.13
68,1874197.58
69,2024133.39
70,2186064.06
71,2360949.18
72,2549825.12
73,2753811.13
74,2974116.02
75,3212045.30
76,3469008.92
77,3746529.64
78,4046252.01
79,4369952.17
80,4719548.34
81,5097112.21
82,5504881.19
83,5945271.68
84,6420893.42
85,6934564.89
86,7489330.08
87,8088476.49
88,8735554.61
89,9434398.97
90,10189150.89
91,11004282.96
92,11884625.60
93,12835395.65
94,13862227.30
95,14971205.49
96,16168901.92
97,17462414.08
98,18859407.20
99,20368159.78
100,21997612.56
101,23757421.57
102,25658015.29
103,27710656.52
104,29927509.04
105,32321709.76
106,34907446.54
107,37700042.27
108,40716045.65
109,43973329.30
110,47491195.64
111,51290491.29
112,55393730.60
113,59825229.05
114,64611247.37
115,69780147.16
116,75362558.93
117,81391563.65
118,87902888.74
119,94935119.84
120,102529929.43
