Year,Total
1,10.80
2,11.66
3,12.60
4,13.60
5,14.69
6,15.87
7,17.14
8,18.51
9,19.99
10,21.59
11,23.32
12,25.18
13,27.20
14,29.37
15,31.72
16,34.26
17,37.00
18,39.96
19,43.16
20,46.61
21,50.34
22,54.37
23,58.71
24,63.41
25,68.48
26,73.96
27,79.88
28,86.27
29,93.17
30,100.63
31,108.68
32,117.37
33,126.76
34,136.90
35,147.85
36,159.68
37,172.46
38,186.25
39,201.15
40,217.25
41,234.62
42,253.39
43,273.67
44,295.56
45,319.20
46,344.74
47,372.32
48,402.11
49,434.27
50,469.02
51,506.54
52,547.06
53,590.83
54,638.09
55,689.14
56,744.27
57,803.81
58,868.12
59,937.57
60,1012.57
61,1093.58
62,1181.06
63,1275.55
64,1377.59
65,1487.80
66,1606.82
67,1735.37
68,1874.20
69,2024.13
70,2186.06
71,2360.95
72,2549.83
73,2753.81
74,2974.12
75,3212.05
76,3469.01
77,3746.53
78,4046.25
79,4369.95
80,4719.55
81,5097.11
82,5504.88
83,5945.27
84,6420.89
85,6934.56
86,7489.33
87,8088.48
88,8735.55
89,9434.40
90,10189.15
91,11004.28
92,11884.63
93,12835.40
94,13862.23
95,14971.21
96,16168.90
97,17462.41
98,18859.41
99,20368.16
100,21997.61
101,23757.42
102,25658.02
103,27710.66
104,29927.51
105,32321.71
106,34907.45
107,37700.04
108,40716.05
109,43973.33
110,47491.20
111,51290.49
112,55393.73
113,59825.23
114,64611.25
115,69780.15
116,75362.56
117,81391.56
118,87902.89
119,94935.12
120,102529.93
121,110732.32
122,119590.91
123,129158.18
124,139490.84
125,150650.10
126,162702.11
127,175718.28
128,189775.74
129,204957.80
130,221354.43
131,239062.78
132,258187.80
133,278842.83
134,301150.26
135,325242.28
136,351261.66
137,379362.59
138,409711.60
139,442488.53
140,477887.61
141,516118.62
142,557408.10
143,602000.75
144,650160.81
145,702173.68
146,758347.57
147,819015.38
148,884536.61
149,955299.54
150,1031723.50
151,1114261.38
152,1203402.29
153,1299674.47
154,1403648.43
155,1515940.31
156,1637215.53
157,1768192.77
158,1909648.20
159,2062420.05
160,2227413.66
161,2405606.75
162,2598055.29
163,2805899.71
164,3030371.69
165,3272801.42
166,3534625.54
167,3817395.58
168,4122787.23
169,4452610.20
170,4808819.02
171,5193524.54
172,5609006.51
173,6057727.03
174,6542345.19
175,7065732.80
176,7630991.43
177,8241470.74
178,8900788.40
179,9612851.47
180,10381879.59
181,11212429.96
182,12109424.36
183,13078178.30
184,14124432.57
185,15254387.17
186,16474738.15
187,17792717.20
188,19216134.58
189,20753425.34
190,22413699.37
191,24206795.32
192,26143338.94
193,28234806.06
194,30493590.54
195,32933077.79
196,35567724.01
197,38413141.93
198,41486193.29
199,44805088.75
200,48389495.85
201,52260655.52
202,56441507.96
203,60956828.59
204,65833374.88
205,71100044.87
206,76788048.46
207,82931092.34
208,89565579.73
209,96730826.11
210,104469292.19
211,112826835.57
212,121852982.41
213,131601221.01
214,142129318.69
215,153499664.18
216,165779637.32
217,179042008.30
218,193365368.97
219,208834598.49
220,225541366.36
221,243584675.67
222,263071449.73
223,284117165.71
224,306846538.96
225,331394262.08
226,357905803.05
227,386538267.29
228,417461328.67
229,450858234.97
230,486926893.76
231,525881045.26
232,567951528.89
233,613387651.20
234,662458663.29
235,715455356.36
236,772691784.86
237,834507127.65
238,901267697.87
239,973369113.70
240,1051238642.79
241,1135337734.21
242,1226164752.95
243,1324257933.19
244,1430198567.84
245,1544614453.27
246,1668183609.53
247,1801638298.29
248,1945769362.16
249,2101430911.13
250,2269545384.02
251,2451109014.74
252,2647197735.92
253,2858973554.80
254,3087691439.18
255,3334706754.31
256,3601483294.66
257,3889601958.23
258,4200770114.89
259,4536831724.08
260,4899778262.01
261,5291760522.97
262,5715101364.80
263,6172309473.99
264,6666094231.91
265,7199381770.46
266,7775332312.10
267,8397358897.07
268,9069147608.83
269,9794679417.54
270,10578253770.94
271,11424514072.62
272,12338475198.43
273,13325553214.30
274,14391597471.44
275,15542925269.16
276,16786359290.69
277,18129268033.95
278,19579609476.66
279,21145978234.80
280,22837656493.58
281,24664669013.07
282,26637842534.11
283,28768869936.84
284,31070379531.79
285,33556009894.33
286,36240490685.88
287,39139729940.75
288,42270908336.01
289,45652581002.89
290,49304787483.12
291,53249170481.77
292,57509104120.31
293,62109832449.93
294,67078619045.93
295,72444908569.60
296,78240501255.17
297,84499741355.58
298,91259720664.03
299,98560498317.15
300,106445338182.52
